Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20170814;14;19800;19291,588
20170814;15;19400;18922,950
20170814;16;19000;18705,100
20170814;17;18800;18353,638
20170814;18;18400;18146,400
20170814;19;18200;17994,413
20170814;20;18800;18046,913
20170814;21;20000;18674,225
20170814;22;19300;18388,638
20170814;23;17800;16869,038
20170814;24;16300;15362,763
20170815;1;15100;14261,250
20170815;2;14400;13681,275
20170815;3;14000;13241,750
20170815;4;13700;13107,825
20170815;5;13600;13076,213
20170815;6;12600;12433,050
20170815;7;13000;12417,300
20170815;8;13900;13282,900
20170815;9;14900;14253,313
20170815;10;15600;15267,013
20170815;11;16000;15657,975
20170815;12;16100;15816,413
20170815;13;16100;15720,238
20170815;14;16100;15674,163
20170815;15;15700;15386,563
20170815;16;15400;15083,375
20170815;17;15100;14943,263
20170815;18;15000;15031,738
20170815;19;15300;15145,338
20170815;20;16100;15480,375
20170815;21;17200;16477,563
20170815;22;16800;16626,450
20170815;23;15800;15662,888
20170815;24;14700;14569,938
20170816;1;13798;13727,125
20170816;2;13313;13310,538
20170816;3;13054;13113,588
20170816;4;12978;13088,250
20170816;5;13137;13209,750
20170816;6;13740;13528,538
20170816;7;16541;16016,175
20170816;8;18734;18410,613
20170816;9;20130;19969,050
20170816;10;21067;20695,500
20170816;11;21224;21063,438
20170816;12;21660;21613,775
20170816;13;21937;21696,163
20170816;14;21954;21771,863
20170816;15;21919;21446,788
20170816;16;21710;21232,400
20170816;17;21334;20894,813
20170816;18;20953;20467,475
20170816;19;20764;20242,975
20170816;20;20957;20563,125
20170816;21;21463;21328,413
20170816;22;20802;20457,863
20170816;23;18902;18690,100
20170816;24;17489;17336,725
20170817;1;16200;16243,875
20170817;2;15600;15580,063
20170817;3;15300;15223,888
20170817;4;15300;15223,663
20170817;5;15300;15326,475
20170817;6;15500;15365,825
20170817;7;18400;17331,700
20170817;8;20000;19421,400
20170817;9;21000;20676,663
20170817;10;21300;21221,650
20170817;11;21900;21312,000
20170817;12;22200;21689,475
20170817;13;22400;21842,088
20170817;14;22500;21828,163
20170817;15;22000;21615,875
20170817;16;21700;21428,650
20170817;17;21300;21043,013
20170817;18;20900;20648,313
20170817;19;20900;20355,725
20170817;20;20900;20472,213
20170817;21;21900;21282,400
20170817;22;20900;20490,225
20170817;23;19300;18912,475
20170817;24;17600;17493,250
20170818;1;16400;16434,775
20170818;2;15800;15820,938
20170818;3;15500;15418,750
20170818;4;15500;15425,588
20170818;5;15500;15556,575
20170818;6;15800;15591,475
20170818;7;18600;17492,225
20170818;8;20300;19639,563
20170818;9;21300;21012,325
20170818;10;21600;21785,175
20170818;11;22100;21945,113
20170818;12;22400;22419,163
20170818;13;22600;22628,625
20170818;14;22700;22599,300
20170818;15;22200;22205,900
20170818;16;21900;22068,875
20170818;17;21500;21574,263
20170818;18;21100;21175,988
20170818;19;20900;20837,588
20170818;20;20900;20837,900
20170818;21;21700;21598,463
20170818;22;20900;20760,625
20170818;23;19300;19101,650
20170818;24;17600;17866,275
20170819;1;16400;16702,800
20170819;2;15800;16012,438
20170819;3;15300;15461,038
20170819;4;15200;15407,425
20170819;5;15100;15373,675
20170819;6;14500;14891,138
20170819;7;16200;15793,663
20170819;8;17600;17275,825
20170819;9;18700;18638,713
20170819;10;19500;19447,775
20170819;11;19800;19933,450
20170819;12;19800;20139,913
20170819;13;19600;19919,463
20170819;14;19400;19501,600
20170819;15;18600;18748,838
20170819;16;18300;18424,350
20170819;17;18100;18018,888
20170819;18;17900;17741,400
20170819;19;17800;17605,663
20170819;20;18100;17777,713
20170819;21;18800;18469,788
20170819;22;18000;17804,750
20170819;23;16900;16611,225
20170819;24;15600;15355,375
